tamano,distribucion,caso,construccion_ms,busqueda_ms,n_busquedas,espacio_bits,espacio_explicito_bits
13421772,lineal,3,1322,2163,1048576,161061376,858993408
13421772,normal,3,229,74,1048576,67108992,858993408
